card,reason
Khristian Curtis,no_scp_url
Luinder Avila,no_scp_url
Luis De Leon,no_scp_url
Luis Guerrero,no_scp_url
Payton Tolle,no_scp_url
Ryan Johnson,no_scp_url
Sam Antonacci,no_scp_url
Trey Yesavage,no_scp_url
Ty Madden,no_scp_url
Brody Hopkins,no_scp_url
Cade Smith,no_scp_url
Chase Dollander,no_scp_url
Ethan Pecko,no_scp_url
Kyle Karros,no_scp_url
Miguel Ullola,no_scp_url
Mike Vasil,no_scp_url
baseball-cards-2015-bowman-draft-chrome/alex-young-32,parse:KeyError
baseball-cards-2015-bowman-chrome-prospects/bobby-bradley-bcp181,parse:KeyError
baseball-cards-2015-bowman-draft-chrome/dillon-tate-50,parse:KeyError
baseball-cards-2015-bowman-chrome-prospects/fernando-perez-bcp9,parse:KeyError
baseball-cards-2017-bowman-draft-chrome/marcos-diplan-bdc16,parse:KeyError
baseball-cards-2015-bowman-draft-chrome/mariano-rivera-114,parse:KeyError
baseball-cards-2017-bowman-chrome-prospects/nick-neidert-bcp-126,parse:KeyError
Sergio Alcantara,no_scp_url
baseball-cards-2015-bowman-draft-chrome/tyler-nevin-111,parse:KeyError
Ben Bowden,no_scp_url
baseball-cards-2017-bowman-draft-chrome/chris-okey-bdc163,parse:KeyError
baseball-cards-2017-bowman-draft-chrome/corey-ray-bdc98,parse:KeyError
baseball-cards-2017-bowman-chrome-prospects/nolan-jones-bcp-69,parse:KeyError
Ricardo Sanchez,no_scp_url
Ronnie Dawson,no_scp_url
baseball-cards-2017-bowman-draft-chrome/brian-miller-bdc45,parse:KeyError
baseball-cards-2017-bowman-draft-chrome/ernie-clement-bdc88,soft_404
Griffin Jax,no_scp_url
baseball-cards-2017-bowman-draft-chrome/hans-crouse-bdc33,parse:KeyError
baseball-cards-2017-bowman-draft-chrome/joe-perez-bdc187,parse:KeyError
Jose Azocar,no_scp_url
baseball-cards-2017-bowman-draft-chrome/mj-melendez-bdc-172,parse:KeyError
Ryan Howard,no_scp_url
baseball-cards-2017-bowman-draft-chrome/zac-lowther-bdc94,parse:KeyError
Braxton Ashcraft,no_scp_url
Carlos Cortes,no_scp_url
Darick Hall,no_scp_url
Griffin Conine,no_scp_url
Jake Wong,no_scp_url
Joe Dunand,no_scp_url
Kody Clemens,no_scp_url
baseball-cards-2018-bowman-chrome-prospects/nick-allen-bcp-158,soft_404
Owen White,no_scp_url
Will Banfield,no_scp_url
Adam Kloffenstein,no_scp_url
Tyler Phillips,no_scp_url
Andy Pages,no_scp_url
Austin Shenton,no_scp_url
Christian Koss,no_scp_url
Drew Avans,no_scp_url
Eric Orze,no_scp_url
Erik Miller,no_scp_url
Max Lazar,no_scp_url
Pedro Pages,no_scp_url
Ricky Vanasco,no_scp_url
Will Holland,no_scp_url
Beck Way,no_scp_url
Eddy Yean,no_scp_url
Eric Cerantola,no_scp_url
Jose Baez,no_scp_url
Mitch Bratt,no_scp_url
Nick Frasso,no_scp_url
Pedro Martinez,no_scp_url
Tanner Murray,no_scp_url
Adam Macko,no_scp_url
BJ Murray Jr.,no_scp_url
Christian Franklin,no_scp_url
John Fox,no_scp_url
Juan Guerrero,no_scp_url
Sterlin Thompson,no_scp_url
Tanner McDougal,no_scp_url
Tyler Collins,no_scp_url
Tyler Schweitzer,no_scp_url
Andrew Taylor,no_scp_url
Joe Stewart,no_scp_url
Robert Moore,no_scp_url
Ramon Ramirez,no_scp_url
Sam Shaw,no_scp_url
Aaron Brown,no_scp_url
baseball-cards-2015-bowman-chrome-prospects/amaurys-minier-bcp191,parse:KeyError
Arquimedes Gamboa,no_scp_url
