player_name,mlb_id,class_year,family,role,card_type,set_slug,scp_url,auto_card_url
Ryan Spikes,691797,2021,draft,hitter,bowman_1st_base,baseball-cards-2021-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-draft-chrome/ryan-spikes-bdc-63,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-draft-pick-chrome-autographs/ryan-spikes-cda-rsp
Sandy Gaston,682624,2021,chrome,pitcher,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospect-autographs/sandy-gaston-cpa-sg
Santiago Florez,672765,2021,chrome,pitcher,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospect-autographs/santiago-florez-cpa-sf
Sean Roby,681852,2021,chrome,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospect-autographs/sean-roby-cpa-sro
Shalin Polanco,694186,2021,chrome,hitter,bowman_1st_base,baseball-cards-2021-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospects/shalin-polanco-bcp-222,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospect-autographs/shalin-polanco-cpa-sp
Shane Panzini,695556,2021,draft,pitcher,bowman_1st_base,baseball-cards-2021-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-draft-chrome/shane-panzini-bdc-36,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-draft-pick-chrome-autographs/shane-panzini-cda-sp
Starlin Aguilar,694223,2021,chrome,hitter,bowman_1st_base,baseball-cards-2021-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospects/starlin-aguilar-bcp-249,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospect-autographs/starlin-aguilar-cpa-sa
Stevie Emanuels,669434,2021,chrome,pitcher,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospect-autographs/stevie-emanuels-cpa-se
Tanner Allen,669327,2021,draft,hitter,bowman_1st_base,baseball-cards-2021-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-draft-chrome/tanner-allen-bdc-165,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-draft-pick-chrome-autographs/tanner-allen-cda-ta
Taylor Dollard,693440,2021,chrome,pitcher,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospect-autographs/taylor-dollard-cpa-tdo
Tommy Mace,676390,2021,draft,pitcher,bowman_1st_base,baseball-cards-2021-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-draft-chrome/tommy-mace-bdc-111,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-draft-pick-chrome-autographs/tommy-mace-cda-tma
Trent Deveaux,677575,2021,chrome,hitter,bowman_1st_base,baseball-cards-2021-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospects/trent-deveaux-bcp-94,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospect-autographs/trent-deveaux-cpa-td
Tucker Bradley,674646,2021,chrome,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospect-autographs/tucker-bradley-cpa-tb
Tyler Keenan,671157,2021,chrome,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospect-autographs/tyler-keenan-cpa-tk
Tyler McDonough,694812,2021,draft,hitter,bowman_1st_base,baseball-cards-2021-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-draft-chrome/tyler-mcdonough-bdc-3,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-draft-pick-chrome-autographs/tyler-mcdonough-cda-tmc
Viandel Pena,678854,2021,chrome,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospect-autographs/viandel-pena-cpa-vp
Victor Acosta,642769,2021,chrome,hitter,bowman_1st_base,baseball-cards-2021-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospects/victor-acosta-bcp-151,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospect-autographs/victor-acosta-cpa-va
Wes Kath,695770,2021,draft,hitter,bowman_1st_base,baseball-cards-2021-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-draft-chrome/wes-kath-bdc-43,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-draft-pick-chrome-autographs/wes-kath-cda-wk
Will Bednar,687218,2021,draft,pitcher,bowman_1st_base,baseball-cards-2021-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-draft-chrome/will-bednar-bdc-197,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-draft-pick-chrome-autographs/will-bednar-cda-wb
Wilman Diaz,694180,2021,chrome,hitter,bowman_1st_base,baseball-cards-2021-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospects/wilman-diaz-bcp-197,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospect-autographs/wilman-diaz-cpa-wd
Yiddi Cappe,691268,2021,chrome,hitter,bowman_1st_base,baseball-cards-2021-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospects/yiddi-cappe-bcp-199,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospect-autographs/yiddi-cappe-cpa-yc
Yoelqui Cespedes,673461,2021,chrome,hitter,bowman_1st_base,baseball-cards-2021-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospects/yoelqui-cespedes-bcp-176,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospect-autographs/yoelqui-cespedes-cpa-yc
Yolbert Sanchez,691503,2021,chrome,hitter,bowman_1st_base,baseball-cards-2021-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospects/yolbert-sanchez-bcp-40,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospect-autographs/yolbert-sanchez-cpa-ysa
Yunior Severino,670870,2021,chrome,hitter,bowman_1st_base,baseball-cards-2021-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospects/yunior-severino-bcp-140,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome-prospect-autographs/yunior-severino-cpa-ys
Zane Mills,677312,2021,draft,pitcher,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-draft-pick-chrome-autographs/zane-mills-cda-zm
Adrian Placencia,691269,2022,chrome,hitter,bowman_1st_base,baseball-cards-2022-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospects/adrian-placencia-bcp-205,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/adrian-placencia-cpa-apa
Adrian Sugastey,692368,2022,chrome,hitter,bowman_1st_base,baseball-cards-2022-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospects/adrian-sugastey-bcp-19,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/adrian-sugastey-cpa-as
Aeverson Arteaga,692348,2022,chrome,hitter,bowman_1st_base,baseball-cards-2022-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospects/aeverson-arteaga-bcp-218,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/aeverson-arteaga-cpa-aa
Alejandro Hidalgo,691576,2022,chrome,pitcher,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/alejandro-hidalgo-cpa-ah
Alejandro Pie,682636,2022,chrome,hitter,bowman_1st_base,baseball-cards-2022-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospects/alejandro-pie-bcp-99,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/alejandro-pie-cpa-ap
Alex De Jesus,682942,2022,chrome,hitter,bowman_1st_base,baseball-cards-2022-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospects/alex-de-jesus-bcp-164,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/alex-de-jesus-cpa-ad
Alexander Ovalles,678900,2022,chrome,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/alexander-ovalles-cpa-ao
Alexander Suarez,683665,2022,chrome,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/alexander-suarez-cpa-asr
Alexis Hernandez,692562,2022,chrome,hitter,bowman_1st_base,baseball-cards-2022-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospects/alexis-hernandez-bcp-172,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/alexis-hernandez-cpa-ah
Allan Cerda,678323,2022,chrome,hitter,bowman_1st_base,baseball-cards-2022-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospects/allan-cerda-bcp-142,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/allan-cerda-cpa-ac
Andrew Pintar,801464,2022,draft,hitter,bowman_1st_base,baseball-cards-2022-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-draft-chrome/andrew-pintar-bdc-138,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-draft-chrome-autographs/andrew-pintar-cda-ap
Andy Thomas,673990,2022,chrome,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/andy-thomas-cpa-at
