player_name,class_year,reason
Jordan Wicks,2022,no_base_card
Jorge Barrosa,2022,no_base_card
Jose Fermin,2022,no_base_card
Maikel Garcia,2022,no_base_card
Randy Vasquez,2022,no_base_card
Ronny Henriquez,2022,no_base_card
Ryan Bliss,2022,no_base_card
Taj Bradley,2022,no_base_card
Tyler Locklear,2022,no_base_card
Victor Mederos,2022,no_base_card
Victor Scott II,2022,no_base_card
Zach Maxwell,2022,no_base_card
Abner Uribe,2023,no_base_card
Ben Brown,2023,no_base_card
Blade Tidwell,2023,no_base_card
Blaine Crim,2023,no_base_card
Brandon Walter,2023,no_base_card
Brett Wisely,2023,no_base_card
Caden Dana,2023,no_base_card
Cristian Mena,2023,no_base_card
Dominic Canzone,2023,no_base_card
Gordon Graceffo,2023,no_base_card
Hayden Juenger,2023,no_base_card
Javier Sanoja,2023,no_base_card
Joey Estes,2023,no_base_card
Joey Ortiz,2023,no_base_card
Kyler Fedko,2023,no_base_card
Luis Perales,2023,no_base_card
Nick Morabito,2023,no_base_card
Prelander Berroa,2023,no_base_card
Shay Whitcomb,2023,no_base_card
Tim Tawa,2023,no_base_card
Troy Johnston,2023,no_base_card
Wikelman Gonzalez,2023,no_base_card
Will Warren,2023,no_base_card
Wilmer Flores,2023,no_base_card
Wilyer Abreu,2023,no_base_card
Yosver Zulueta,2023,no_base_card
Andrew Walters,2024,no_base_card
Brandon Sproat,2024,no_base_card
Jesus Rodriguez,2024,no_base_card
Jose Fernandez,2024,no_base_card
Justin Wrobleski,2024,no_base_card
Kendry Rojas,2024,no_base_card
Khristian Curtis,2024,no_base_card
Luinder Avila,2024,no_base_card
Luis De Leon,2024,no_base_card
Luis Guerrero,2024,no_base_card
Payton Tolle,2024,no_base_card
Ryan Johnson,2024,no_base_card
Sam Antonacci,2024,no_base_card
Trey Yesavage,2024,no_base_card
Ty Madden,2024,no_base_card
Brody Hopkins,2025,no_base_card
Cade Smith,2025,no_base_card
Chase Dollander,2025,no_base_card
Ethan Pecko,2025,no_base_card
Kyle Karros,2025,no_base_card
Miguel Ullola,2025,no_base_card
Mike Vasil,2025,no_base_card
Sergio Alcantara,2015,no_base_card
Ben Bowden,2016,no_base_card
Ricardo Sanchez,2016,no_base_card
Ronnie Dawson,2016,no_base_card
Griffin Jax,2017,no_base_card
Jose Azocar,2017,no_base_card
Ryan Howard,2017,no_base_card
Braxton Ashcraft,2018,no_base_card
Carlos Cortes,2018,no_base_card
Darick Hall,2018,no_base_card
Griffin Conine,2018,no_base_card
Jake Wong,2018,no_base_card
Joe Dunand,2018,no_base_card
Kody Clemens,2018,no_base_card
Owen White,2018,no_base_card
Will Banfield,2018,no_base_card
Adam Kloffenstein,2019,no_base_card
Tyler Phillips,2019,no_base_card
Andy Pages,2020,no_base_card
Austin Shenton,2020,no_base_card
Christian Koss,2020,no_base_card
Drew Avans,2020,no_base_card
Eric Orze,2020,no_base_card
Erik Miller,2020,no_base_card
Max Lazar,2020,no_base_card
Pedro Pages,2020,no_base_card
Ricky Vanasco,2020,no_base_card
Will Holland,2020,no_base_card
Beck Way,2021,no_base_card
Eddy Yean,2021,no_base_card
Eric Cerantola,2021,no_base_card
Jose Baez,2021,no_base_card
Mitch Bratt,2021,no_base_card
Nick Frasso,2021,no_base_card
Pedro Martinez,2021,no_base_card
Tanner Murray,2021,no_base_card
Adam Macko,2022,no_base_card
BJ Murray Jr.,2022,no_base_card
Christian Franklin,2022,no_base_card
John Fox,2022,no_base_card
Juan Guerrero,2022,no_base_card
Sterlin Thompson,2022,no_base_card
Tanner McDougal,2022,no_base_card
Tyler Collins,2022,no_base_card
Tyler Schweitzer,2022,no_base_card
Andrew Taylor,2023,no_base_card
Joe Stewart,2023,no_base_card
Robert Moore,2023,no_base_card
Ramon Ramirez,2024,no_base_card
Sam Shaw,2024,no_base_card
Aaron Brown,2015,no_base_card
Arquimedes Gamboa,2015,no_base_card
Casey Soltis,2015,no_base_card
Drew Dosch,2015,no_base_card
Julian Leon,2015,no_base_card
Milton Ramos,2015,no_base_card
Ronnie Williams,2015,no_base_card
Connor Jones,2016,no_base_card
Corey Zangari,2016,no_base_card
Jeison Guzman,2016,no_base_card
Joe Rizzo,2016,no_base_card
