card_slug,player_name,mlb_id,rookie_year,card_type,grade,sales_per_week,n_chart_points,chart_first,chart_last
baseball-cards-2022-bowman-chrome/julio-rodriguez-48,Julio Rodriguez,677594,2022,bowman_1st,psa_10,1.0047846889952152,46,2022-12-01,2026-09-01
baseball-cards-2015-bowman-chrome/francisco-lindor-89,Francisco Lindor,596019,2015,bowman_1st,psa_9,0.9952606635071091,0,,
baseball-cards-2016-topps-chrome/trea-turner-32,Trea Turner,607208,2016,flagship,psa_10,0.9722222222222222,67,2021-03-01,2026-09-01
baseball-cards-2019-bowman-chrome/fernando-tatis-jr-26,Fernando Tatis Jr.,665487,2019,bowman_1st,psa_10,0.9545454545454546,67,2021-03-01,2026-09-01
baseball-cards-2018-topps-chrome/ronald-acuna-jr-193,Ronald Acuna Jr.,660670,2018,flagship,psa_9,0.9264705882352942,0,,
baseball-cards-2019-bowman-chrome/vladimir-guerrero-jr-73,Vladimir Guerrero Jr.,665489,2019,bowman_1st,psa_10,0.8823529411764706,67,2021-03-01,2026-09-01
baseball-cards-2018-topps-chrome-update/juan-soto-hmt55,Juan Soto,665742,2018,flagship,psa_9,0.8425925925925926,0,,
baseball-cards-2023-topps-chrome/gunnar-henderson-2,Gunnar Henderson,683002,2023,flagship,psa_9,0.8212290502793296,0,,
baseball-cards-2025-topps-chrome/roki-sasaki-217,Roki Sasaki,808963,2025,flagship,psa_9,0.8166666666666667,0,,
baseball-cards-2023-bowman-chrome/anthony-volpe-11,Anthony Volpe,683011,2023,bowman_1st,ungraded,0.7954545454545454,37,2023-09-01,2026-09-01
baseball-cards-2022-bowman-chrome/julio-rodriguez-48,Julio Rodriguez,677594,2022,bowman_1st,psa_9,0.6923076923076923,0,,
baseball-cards-2018-bowman-chrome/ronald-acuna-jr-40,Ronald Acuna Jr.,660670,2018,bowman_1st,psa_9,0.6805555555555555,0,,
baseball-cards-2015-topps-chrome-update/carlos-correa-us174,Carlos Correa,621043,2015,flagship,psa_10,0.6789297658862876,67,2021-03-01,2026-09-01
baseball-cards-2017-bowman-chrome/cody-bellinger-27,Cody Bellinger,641355,2017,bowman_1st,psa_10,0.6666666666666666,67,2021-03-01,2026-09-01
baseball-cards-2015-topps-chrome-update/francisco-lindor-us286,Francisco Lindor,596019,2015,flagship,psa_10,0.658307210031348,66,2021-04-01,2026-09-01
baseball-cards-2025-topps-chrome/jacob-wilson-96,Jacob Wilson,805779,2025,flagship,psa_9,0.6394230769230769,0,,
baseball-cards-2024-bowman-chrome/jackson-chourio-69,Jackson Chourio,694192,2024,bowman_1st,ungraded,0.6217765042979944,25,2024-09-01,2026-09-01
baseball-cards-2019-bowman-chrome/pete-alonso-48,Pete Alonso,624413,2019,bowman_1st,psa_10,0.6194690265486725,67,2021-03-01,2026-09-01
baseball-cards-2019-topps-chrome/pete-alonso-204,Pete Alonso,624413,2019,flagship,psa_9,0.6194690265486725,0,,
baseball-cards-2017-topps-chrome/alex-bregman-9,Alex Bregman,608324,2017,flagship,psa_10,0.6051873198847263,66,2021-04-01,2026-09-01
baseball-cards-2023-topps-chrome/jordan-walker-209,Jordan Walker,691023,2023,flagship,psa_9,0.5964125560538116,0,,
baseball-cards-2015-topps-chrome-update/carlos-correa-us174,Carlos Correa,621043,2015,flagship,ungraded,0.595360824742268,67,2021-03-01,2026-09-01
baseball-cards-2024-bowman-chrome/jackson-chourio-69,Jackson Chourio,694192,2024,bowman_1st,psa_10,0.5898876404494382,25,2024-09-01,2026-09-01
baseball-cards-2015-topps-chrome/kris-bryant-112,Kris Bryant,592178,2015,flagship,psa_10,0.5817174515235457,67,2021-03-01,2026-09-01
baseball-cards-2018-topps-chrome/walker-buehler-71,Walker Buehler,621111,2018,flagship,psa_10,0.5740740740740741,133,2021-03-01,2026-09-01
baseball-cards-2024-topps-chrome-update/paul-skenes-usc88,Paul Skenes,694973,2024,flagship,ungraded,0.5669421487603306,23,2024-11-01,2026-09-01
baseball-cards-2018-bowman-chrome/juan-soto-bcp52,Juan Soto,665742,2018,bowman_1st,psa_10,0.5526315789473684,45,2023-01-01,2026-09-01
baseball-cards-2020-bowman-chrome/randy-arozarena-11,Randy Arozarena,668227,2020,bowman_1st,psa_10,0.5357142857142857,67,2021-03-01,2026-09-01
baseball-cards-2016-bowman-chrome/corey-seager-40,Corey Seager,608369,2016,bowman_1st,ungraded,0.5254691689008043,67,2021-03-01,2026-09-01
baseball-cards-2018-topps-chrome/walker-buehler-71,Walker Buehler,621111,2018,flagship,ungraded,0.5240641711229946,67,2021-03-01,2026-09-01
baseball-cards-2023-topps-chrome/anthony-volpe-4,Anthony Volpe,683011,2023,flagship,psa_10,0.5203836930455635,38,2023-08-01,2026-09-01
baseball-cards-2024-topps-chrome/wyatt-langford-122,Wyatt Langford,694671,2024,flagship,psa_9,0.5072463768115941,0,,
baseball-cards-2025-bowman-chrome/roki-sasaki-12,Roki Sasaki,808963,2025,bowman_1st,psa_10,0.4935897435897436,13,2025-09-01,2026-09-01
baseball-cards-2024-topps-chrome/jackson-chourio-161,Jackson Chourio,694192,2024,flagship,ungraded,0.4897959183673469,27,2024-07-01,2026-09-01
baseball-cards-2024-topps-chrome/jackson-chourio-161,Jackson Chourio,694192,2024,flagship,psa_9,0.48137535816618915,0,,
baseball-cards-2023-bowman-chrome/gunnar-henderson-10,Gunnar Henderson,683002,2023,bowman_1st,psa_10,0.46979865771812085,37,2023-09-01,2026-09-01
baseball-cards-2024-bowman-chrome/wyatt-langford-71,Wyatt Langford,694671,2024,bowman_1st,psa_10,0.4634703196347032,24,2024-10-01,2026-09-01
baseball-cards-2019-bowman-chrome/fernando-tatis-jr-26,Fernando Tatis Jr.,665487,2019,bowman_1st,psa_9,0.4572072072072072,0,,
baseball-cards-2017-topps-chrome/cody-bellinger-79,Cody Bellinger,641355,2017,flagship,psa_9,0.43209876543209874,0,,
baseball-cards-2023-topps-chrome/corbin-carroll-95,Corbin Carroll,682998,2023,flagship,psa_9,0.4315068493150685,0,,
baseball-cards-2024-bowman-chrome/paul-skenes-31,Paul Skenes,694973,2024,bowman_1st,ungraded,0.42457231726283046,25,2024-09-01,2026-09-01
baseball-cards-2023-bowman-chrome/corbin-carroll-5,Corbin Carroll,682998,2023,bowman_1st,psa_10,0.42291666666666666,37,2023-09-01,2026-09-01
baseball-cards-2024-bowman-chrome/jackson-merrill-27,Jackson Merrill,701538,2024,bowman_1st,ungraded,0.42184557438794723,25,2024-09-01,2026-09-01
baseball-cards-2024-bowman-chrome/jackson-merrill-27,Jackson Merrill,701538,2024,bowman_1st,psa_9,0.417910447761194,0,,
baseball-cards-2024-bowman-chrome/wyatt-langford-71,Wyatt Langford,694671,2024,bowman_1st,ungraded,0.417910447761194,25,2024-09-01,2026-09-01
baseball-cards-2016-topps-chrome-update/corey-seager-hmt41,Corey Seager,608369,2016,flagship,ungraded,0.40438247011952194,66,2021-04-01,2026-09-01
baseball-cards-2024-bowman-chrome/wyatt-langford-71,Wyatt Langford,694671,2024,bowman_1st,psa_9,0.4015296367112811,0,,
baseball-cards-2018-topps-chrome-update/juan-soto-hmt55,Juan Soto,665742,2018,flagship,ungraded,0.39325842696629215,67,2021-03-01,2026-09-01
baseball-cards-2020-topps-chrome/kyle-lewis-186,Kyle Lewis,641786,2020,flagship,psa_9,0.39264990328820115,0,,
baseball-cards-2025-bowman-chrome/roki-sasaki-12,Roki Sasaki,808963,2025,bowman_1st,psa_9,0.3848797250859107,0,,
baseball-cards-2024-bowman-chrome/jackson-chourio-69,Jackson Chourio,694192,2024,bowman_1st,psa_9,0.3761996161228407,0,,
baseball-cards-2024-topps-chrome/jackson-merrill-207,Jackson Merrill,701538,2024,flagship,ungraded,0.37,27,2024-07-01,2026-09-01
baseball-cards-2020-bowman-chrome/kyle-lewis-90,Kyle Lewis,641786,2020,bowman_1st,psa_10,0.3482587064676617,66,2021-04-01,2026-09-01
baseball-cards-2024-topps-chrome/wyatt-langford-122,Wyatt Langford,694671,2024,flagship,ungraded,0.3463268365817091,27,2024-07-01,2026-09-01
baseball-cards-2023-bowman-chrome/gunnar-henderson-10,Gunnar Henderson,683002,2023,bowman_1st,psa_9,0.3420195439739414,0,,
baseball-cards-2023-topps-chrome/gunnar-henderson-2,Gunnar Henderson,683002,2023,flagship,ungraded,0.33035714285714285,38,2023-08-01,2026-09-01
baseball-cards-2023-bowman-chrome/anthony-volpe-11,Anthony Volpe,683011,2023,bowman_1st,psa_10,0.3181818181818182,37,2023-09-01,2026-09-01
baseball-cards-2023-bowman-chrome/corbin-carroll-5,Corbin Carroll,682998,2023,bowman_1st,ungraded,0.3177441540577717,37,2023-09-01,2026-09-01
baseball-cards-2023-topps-chrome/anthony-volpe-4,Anthony Volpe,683011,2023,flagship,ungraded,0.3058676654182272,38,2023-08-01,2026-09-01
baseball-cards-2023-bowman-chrome/gunnar-henderson-10,Gunnar Henderson,683002,2023,bowman_1st,ungraded,0.272,37,2023-09-01,2026-09-01
baseball-cards-2019-bowman-chrome/fernando-tatis-jr-26,Fernando Tatis Jr.,665487,2019,bowman_1st,ungraded,0.26634958382877527,67,2021-03-01,2026-09-01
baseball-cards-2023-topps-chrome/corbin-carroll-95,Corbin Carroll,682998,2023,flagship,ungraded,0.25395348837209303,38,2023-08-01,2026-09-01
baseball-cards-2018-bowman-chrome/walker-buehler-34,Walker Buehler,621111,2018,bowman_1st,ungraded,0.25331724969843183,67,2021-03-01,2026-09-01
baseball-cards-2020-topps-chrome/randy-arozarena-49,Randy Arozarena,668227,2020,flagship,ungraded,0.25310734463276835,67,2021-03-01,2026-09-01
baseball-cards-2022-topps-chrome/julio-rodriguez-222,Julio Rodriguez,677594,2022,flagship,psa_10,0.2474747474747475,48,2022-10-01,2026-09-01
baseball-cards-2016-topps-chrome-update/corey-seager-hmt41,Corey Seager,608369,2016,flagship,psa_10,0.24734982332155475,66,2021-04-01,2026-09-01
baseball-cards-2023-bowman-chrome/jordan-walker-18,Jordan Walker,691023,2023,bowman_1st,ungraded,0.2454835281615303,37,2023-09-01,2026-09-01
baseball-cards-2021-topps-chrome-update/jarred-kelenic-usc2,Jarred Kelenic,672284,2021,flagship,ungraded,0.24464487034949267,57,2022-01-01,2026-09-01
baseball-cards-2015-bowman-chrome/francisco-lindor-89,Francisco Lindor,596019,2015,bowman_1st,psa_10,0.23542600896860985,67,2021-03-01,2026-09-01
baseball-cards-2022-bowman-chrome/julio-rodriguez-48,Julio Rodriguez,677594,2022,bowman_1st,ungraded,0.22598001537279017,47,2022-11-01,2026-09-01
baseball-cards-2016-bowman-chrome/trea-turner-51,Trea Turner,607208,2016,bowman_1st,ungraded,0.21337266470009833,67,2021-03-01,2026-09-01
baseball-cards-2023-bowman-chrome/jordan-walker-18,Jordan Walker,691023,2023,bowman_1st,psa_10,0.21101871101871103,37,2023-09-01,2026-09-01
baseball-cards-2023-topps-chrome/jordan-walker-209,Jordan Walker,691023,2023,flagship,ungraded,0.19982158786797502,38,2023-08-01,2026-09-01
baseball-cards-2021-topps-chrome-update/jonathan-india-usc74,Jonathan India,663697,2021,flagship,ungraded,0.16549912434325745,57,2022-01-01,2026-09-01
baseball-cards-2019-topps-chrome/pete-alonso-204,Pete Alonso,624413,2019,flagship,ungraded,0.16470588235294117,67,2021-03-01,2026-09-01
baseball-cards-2017-topps-chrome/aaron-judge-169,Aaron Judge,592450,2017,flagship,ungraded,0.16312056737588654,67,2021-03-01,2026-09-01
baseball-cards-2020-bowman-chrome/kyle-lewis-90,Kyle Lewis,641786,2020,bowman_1st,ungraded,0.16225165562913907,67,2021-03-01,2026-09-01
baseball-cards-2022-topps-chrome/bobby-witt-jr-221,Bobby Witt Jr,677951,2022,flagship,ungraded,0.16038433111603845,48,2022-10-01,2026-09-01
baseball-cards-2019-bowman-chrome/vladimir-guerrero-jr-73,Vladimir Guerrero Jr.,665489,2019,bowman_1st,ungraded,0.1595303867403315,67,2021-03-01,2026-09-01
baseball-cards-2018-topps-chrome/ronald-acuna-jr-193,Ronald Acuna Jr.,660670,2018,flagship,ungraded,0.15944444444444442,67,2021-03-01,2026-09-01
baseball-cards-2021-topps-chrome-update/adolis-garcia-usc64,Adolis Garcia,666969,2021,flagship,ungraded,0.15896188158961883,56,2022-02-01,2026-09-01
baseball-cards-2022-topps-chrome/julio-rodriguez-222,Julio Rodriguez,677594,2022,flagship,ungraded,0.15463917525773196,48,2022-10-01,2026-09-01
baseball-cards-2022-topps-chrome/bobby-witt-jr-221,Bobby Witt Jr,677951,2022,flagship,psa_10,0.1517189835575486,48,2022-10-01,2026-09-01
baseball-cards-2018-bowman-chrome/ronald-acuna-jr-40,Ronald Acuna Jr.,660670,2018,bowman_1st,ungraded,0.15021459227467812,64,2021-06-01,2026-09-01
baseball-cards-2015-topps-chrome/kris-bryant-112,Kris Bryant,592178,2015,flagship,ungraded,0.14741035856573706,67,2021-03-01,2026-09-01
baseball-cards-2016-bowman-chrome/trea-turner-51,Trea Turner,607208,2016,bowman_1st,psa_10,0.14334470989761092,67,2021-03-01,2026-09-01
baseball-cards-2020-topps-chrome/kyle-lewis-186,Kyle Lewis,641786,2020,flagship,ungraded,0.1416184971098266,67,2021-03-01,2026-09-01
baseball-cards-2020-bowman-chrome/randy-arozarena-11,Randy Arozarena,668227,2020,bowman_1st,ungraded,0.1415525114155251,67,2021-03-01,2026-09-01
baseball-cards-2018-bowman-chrome/walker-buehler-34,Walker Buehler,621111,2018,bowman_1st,psa_10,0.1390728476821192,66,2021-04-01,2026-09-01
baseball-cards-2017-topps-chrome/alex-bregman-9,Alex Bregman,608324,2017,flagship,ungraded,0.13878562577447334,62,2021-08-01,2026-09-01
baseball-cards-2015-bowman-chrome/francisco-lindor-89,Francisco Lindor,596019,2015,bowman_1st,ungraded,0.13873873873873874,67,2021-03-01,2026-09-01
baseball-cards-2019-topps-chrome/fernando-tatis-jr-203,Fernando Tatis Jr.,665487,2019,flagship,ungraded,0.13447927199191104,67,2021-03-01,2026-09-01
baseball-cards-2015-topps-chrome-update/francisco-lindor-us286,Francisco Lindor,596019,2015,flagship,ungraded,0.1337313432835821,67,2021-03-01,2026-09-01
baseball-cards-2019-topps-chrome/vladimir-guerrero-jr-201,Vladimir Guerrero Jr.,665489,2019,flagship,ungraded,0.13003095975232198,67,2021-03-01,2026-09-01
baseball-cards-2016-bowman-chrome/corey-seager-40,Corey Seager,608369,2016,bowman_1st,psa_10,0.1285878300803674,67,2021-03-01,2026-09-01
baseball-cards-2017-topps-chrome/cody-bellinger-79,Cody Bellinger,641355,2017,flagship,ungraded,0.1260936695831189,67,2021-03-01,2026-09-01
baseball-cards-2015-bowman-chrome/carlos-correa-110,Carlos Correa,621043,2015,bowman_1st,psa_10,0.11534090909090909,67,2021-03-01,2026-09-01
baseball-cards-2019-bowman-chrome/pete-alonso-48,Pete Alonso,624413,2019,bowman_1st,ungraded,0.112,67,2021-03-01,2026-09-01
baseball-cards-2015-bowman-chrome/carlos-correa-110,Carlos Correa,621043,2015,bowman_1st,ungraded,0.11122501281394157,67,2021-03-01,2026-09-01
baseball-cards-2018-bowman-chrome/juan-soto-bcp52,Juan Soto,665742,2018,bowman_1st,ungraded,0.10252237591537836,46,2022-12-01,2026-09-01
baseball-cards-2021-topps-chrome-update/jonathan-india-usc74,Jonathan India,663697,2021,flagship,psa_10,0.044585987261146494,57,2022-01-01,2026-09-01
baseball-cards-2021-topps-chrome-update/jarred-kelenic-usc2,Jarred Kelenic,672284,2021,flagship,psa_10,0.02834008097165992,114,2022-01-01,2026-09-01
