product_id,name,number,card_url,raw_title,year,family,kind,cc_total,scp_total,cc_only,scp_only,ok,completeness
6687537.0,Anthony Scull,CPA-AS,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/anthony-scull-cpa-as,Anthony Scull #CPA-AS,2024.0,chrome,number_collision,,,,,,
6687543.0,Brice Matthews,CPA-BM,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/brice-matthews-cpa-bm,Brice Matthews #CPA-BM,2024.0,chrome,number_collision,,,,,,
6687554.0,Diego Benitez,CPA-DB,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/diego-benitez-cpa-db,Diego Benitez #CPA-DB,2024.0,chrome,number_collision,,,,,,
6687558.0,Erick Bautista,CPA-EB,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/erick-bautista-cpa-eb,Erick Bautista #CPA-EB,2024.0,chrome,number_collision,,,,,,
6687561.0,Estuar Suero,CPA-ES,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/estuar-suero-cpa-es,Estuar Suero #CPA-ES,2024.0,chrome,number_collision,,,,,,
6687562.0,Erick Torres,CPA-ET,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/erick-torres-cpa-et,Erick Torres #CPA-ET,2024.0,chrome,number_collision,,,,,,
6687563.0,Enmanuel Tejeda,CPA-ETE,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/enmanuel-tejeda-cpa-ete,Enmanuel Tejeda #CPA-ETE,2024.0,chrome,number_collision,,,,,,
6687564.0,Esmerlyn Valdez,CPA-EV,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/esmerlyn-valdez-cpa-ev,Esmerlyn Valdez #CPA-EV,2024.0,chrome,number_collision,,,,,,
6687573.0,Jadher Areinamo,CPA-JA,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/jadher-areinamo-cpa-ja,Jadher Areinamo #CPA-JA,2024.0,chrome,number_collision,,,,,,
6687574.0,Jacob Burke,CPA-JB,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/jacob-burke-cpa-jb,Jacob Burke #CPA-JB,2024.0,chrome,number_collision,,,,,,
6687580.0,Jesus Rodriguez,CPA-JR,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/jesus-rodriguez-cpa-jr,Jesus Rodriguez #CPA-JR,2024.0,chrome,number_collision,,,,,,
6687591.0,Paul Skenes,CPA-PS,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/paul-skenes-cpa-ps,Paul Skenes #CPA-PS,2024.0,chrome,number_collision,,,,,,
6687611.0,Yohandy Morales,CPA-YM,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/yohandy-morales-cpa-ym,Yohandy Morales #CPA-YM,2024.0,chrome,number_collision,,,,,,
7381749.0,Adriel Radney,CPA-AR,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/adriel-radney-cpa-ar,Adriel Radney #CPA-AR,2024.0,chrome,number_collision,,,,,,
7381775.0,Adolfo Sanchez,CPA-AS,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/adolfo-sanchez-cpa-as,Adolfo Sanchez #CPA-AS,2024.0,chrome,number_collision,,,,,,
7381897.0,Bralyn Brazoban,CPA-BB,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/bralyn-brazoban-cpa-bb,Bralyn Brazoban #CPA-BB,2024.0,chrome,number_collision,,,,,,
7381921.0,Brooks Brannon,CPA-BB,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/brooks-brannon-cpa-bb,Brooks Brannon #CPA-BB,2024.0,chrome,number_collision,,,,,,
7382044.0,Braylin Morel,CPA-BM,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/braylin-morel-cpa-bm,Braylin Morel #CPA-BM,2024.0,chrome,number_collision,,,,,,
7382317.0,Derek Bernard,CPA-DB,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/derek-bernard-cpa-db,Derek Bernard #CPA-DB,2024.0,chrome,number_collision,,,,,,
7382465.0,Eduardo Beltre,CPA-EB,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/eduardo-beltre-cpa-eb,Eduardo Beltre #CPA-EB,2024.0,chrome,number_collision,,,,,,
7382637.0,Emilio Sanchez,CPA-ES,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/emilio-sanchez-cpa-es,Emilio Sanchez #CPA-ES,2024.0,chrome,number_collision,,,,,,
7382661.0,Eduardo Tait,CPA-ET,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/eduardo-tait-cpa-et,Eduardo Tait #CPA-ET,2024.0,chrome,number_collision,,,,,,
7382684.0,Emiliano Teodo,CPA-ETE,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/emiliano-teodo-cpa-ete,Emiliano Teodo #CPA-ETE,2024.0,chrome,number_collision,,,,,,
7382710.0,Echedry Vargas,CPA-EV,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/echedry-vargas-cpa-ev,Echedry Vargas #CPA-EV,2024.0,chrome,number_collision,,,,,,
7382833.0,Greylin De La Paz,CPA-GD,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/greylin-de-la-paz-cpa-gd,Greylin De La Paz #CPA-GD,2024.0,chrome,number_collision,,,,,,
7382971.0,Jalvin Arias,CPA-JA,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/jalvin-arias-cpa-ja,Jalvin Arias #CPA-JA,2024.0,chrome,number_collision,,,,,,
7383020.0,Jake Bloss,CPA-JB,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/jake-bloss-cpa-jb,Jake Bloss #CPA-JB,2024.0,chrome,number_collision,,,,,,
7383193.0,Juan Flores,CPA-JF,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/juan-flores-cpa-jf,Juan Flores #CPA-JF,2024.0,chrome,number_collision,,,,,,
7383217.0,Jose Fernandez,CPA-JF,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/jose-fernandez-cpa-jf,Jose Fernandez #CPA-JF,2024.0,chrome,number_collision,,,,,,
7383340.0,Jose Perdomo,CPA-JP,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/jose-perdomo-cpa-jp,Jose Perdomo #CPA-JP,2024.0,chrome,number_collision,,,,,,
7383365.0,Jeral Perez,CPA-JP,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome-prospects-autograph/jeral-perez-cpa-jp,Jeral Perez #CPA-JP,2024.0,chrome,number_collision,,,,,,
